RegionID, CentroidX, CentroidY, CentroidZ, Volume
01082, 350.80, 320.93, 81.09, 3785
00814, 347.42, 251.43, 88.34, 17477
00496, 331.24, 247.29, 89.07, 4028
00535, 347.42, 251.43, 88.34, 17477
00360, 344.98, 252.60, 87.11, 5940
00646, 354.90, 253.33, 88.44, 5669
00267, 362.97, 250.87, 90.42, 1840
00961, 492.18, 333.93, 128.47, 649553
00152, 492.18, 333.93, 128.47, 649553
00276, 498.11, 339.64, 127.09, 238208
00284, 485.83, 331.44, 123.11, 185655
00291, 491.14, 329.95, 134.33, 225690
00619, 433.23, 375.32, 138.50, 21737
00392, 433.23, 375.32, 138.50, 21737
00260, 429.25, 384.48, 138.01, 9079
00268, 433.94, 372.37, 138.77, 7572
01139, 439.22, 363.35, 138.95, 5086
00631, 462.93, 368.62, 164.70, 147386
00639, 448.42, 386.41, 140.50, 30580
00192, 446.28, 393.56, 139.17, 14186
00200, 450.25, 380.22, 141.64, 16394
00208, 448.42, 386.41, 140.50, 30580
00647, 466.57, 364.00, 171.03, 116787
00655, 470.30, 372.45, 164.83, 56374
00584, 470.30, 372.45, 164.83, 56374
00376, 470.30, 372.45, 164.83, 56374
00216, 468.05, 386.31, 162.14, 15843
00224, 467.77, 377.91, 161.09, 18686
00232, 473.97, 357.74, 169.99, 21845
00663, 463.13, 356.11, 176.82, 60413
00592, 463.13, 356.11, 176.82, 60413
00383, 463.13, 356.11, 176.82, 60413
00240, 457.33, 364.33, 176.84, 13233
00248, 461.57, 360.09, 176.81, 14849
00256, 466.19, 350.91, 176.81, 32331
00788, 487.05, 384.84, 162.01, 31879
00400, 487.05, 384.84, 162.01, 31879
00408, 487.41, 393.54, 161.68, 12314
00416, 485.33, 386.18, 160.26, 9044
00424, 488.08, 373.52, 163.89, 10521
00566, 514.67, 340.78, 184.80, 59427
00517, 514.67, 340.78, 184.80, 59427
01140, 519.70, 352.18, 185.13, 20175
01141, 514.67, 340.78, 184.80, 59427
01142, 512.09, 334.92, 184.63, 39252
01089, 467.33, 216.85, 188.52, 2197267
01080, 442.39, 194.30, 176.99, 1143656
00375, 450.68, 192.57, 175.79, 822155
00382, 454.00, 179.76, 178.97, 483607
00391, 449.73, 190.30, 180.28, 123914
00399, 442.30, 154.39, 175.28, 100975
00407, 477.93, 197.58, 182.99, 104881
00415, 448.73, 175.77, 177.58, 153837
00423, 441.18, 161.06, 166.12, 38838
00431, 441.80, 170.39, 169.52, 9004
00438, 450.87, 154.58, 165.31, 10375
00446, 445.09, 160.56, 165.96, 6917
00454, 431.54, 159.99, 164.45, 12542
00463, 446.48, 217.32, 171.92, 299710
00471, 427.80, 160.64, 164.68, 4168
00479, 440.90, 209.68, 172.06, 18574
